抽選日,本数字,ボーナス数字
2025-01-30,3 7 12 13 35 38,24
2025-01-27,6 13 15 22 35 41,37
2025-01-23,3 4 22 26 29 35,37
2025-01-20,4 12 25 29 34 36,32
2025-01-16,17 18 20 23 33 43,19
2025-01-13,2 5 28 33 35 36,34
2025-01-09,3 4 20 29 35 38,6
2025-01-06,4 8 19 22 32 37,26
