抽選日,本数字,ボーナス数字
2025-06-30,1 14 20 36 38 41,30
2025-06-26,12 14 18 24 30 42,4
2025-06-23,9 15 24 29 31 40,13
2025-06-19,8 17 20 35 36 40,12
2025-06-16,5 8 9 17 22 36,30
2025-06-12,6 18 23 24 30 35,38
2025-06-09,4 7 19 22 26 28,33
2025-06-05,3 7 18 27 33 34,6
2025-06-02,16 18 25 27 31 36,7
