抽選日,本数字,ボーナス数字
2025-04-28,10 11 13 16 24 26,12
2025-04-24,7 12 13 35 37 42,31
2025-04-21,9 11 18 21 27 34,13
2025-04-17,1 5 12 16 17 40,4
2025-04-14,6 9 15 19 24 40,30
2025-04-10,15 17 23 29 35 43,8
2025-04-07,6 20 23 24 33 35,27
2025-04-03,8 12 25 28 32 42,27
