抽選日,本数字,ボーナス数字
2025-05-29,1 5 10 13 35 40,39
2025-05-26,1 17 19 23 36 42,15
2025-05-22,13 21 24 26 34 36,20
2025-05-19,1 2 16 21 25 35,22
2025-05-15,17 31 34 35 36 38,2
2025-05-12,1 4 6 9 20 43,21
2025-05-08,5 16 17 28 36 40,14
2025-05-05,6 17 26 28 33 34,20
2025-05-01,2 4 8 26 27 37,19
