No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1763,2023-02-02,2,6,20,30,31,41,11,0,6,206,9616,160293,0,11800400,371100,8400,1000,236001349,1387467000
1764,2023-02-06,16,21,26,31,39,42,41,0,6,177,10495,183634,0,14356700,525500,9300,1000,523127255,1662736000
1765,2023-02-09,1,10,15,19,20,32,6,0,8,265,12807,212878,0,10742600,350200,7600,1000,809588526,1724818400
1766,2023-02-13,16,19,25,26,35,43,38,1,5,241,12399,201471,600000000,19787000,443300,9100,1000,539361496,1888729600
1767,2023-02-16,7,15,17,21,32,35,43,2,5,328,14379,223026,411168200,16979000,279500,6700,1000,0,1732135400
1768,2023-02-20,6,21,30,32,39,40,34,0,3,164,8552,150881,0,25346400,500700,10100,1000,253456544,1442825800
1769,2023-02-23,4,11,15,19,28,32,34,0,7,302,14387,217004,0,10585400,264900,5800,1000,500442562,1561491400
1770,2023-02-27,1,11,18,24,37,43,28,2,9,339,14554,225402,398402400,9879000,283200,6900,1000,0,1795914200
