No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1343,2019-01-07,2,8,10,12,19,23,16,2,22,755,26068,328489,149831600,3611700,113600,3400,1000,0,1887299200
1344,2019-01-10,8,16,20,28,37,43,29,1,4,194,9991,159732,200000000,18371500,409000,8300,1000,44945823,1425305200
1345,2019-01-14,1,15,26,27,29,33,18,0,5,239,11606,184888,0,14260400,322100,7000,1000,282612734,1449400600
1346,2019-01-17,5,10,22,27,38,42,36,3,8,341,13469,207387,184111400,10114800,256200,6800,1000,0,1639468600
1347,2019-01-21,8,10,11,18,36,43,7,2,8,214,11399,187011,116194600,8714800,351800,6900,1000,0,1431056600
1348,2019-01-24,1,2,14,19,21,33,43,2,5,208,10746,169796,113126700,13575600,352400,7200,1000,0,1365989200
1349,2019-01-28,2,16,19,32,34,42,33,0,3,189,9216,156759,0,24312300,416700,9000,1000,243115607,1410701000
1350,2019-01-31,7,8,9,10,20,38,16,1,5,266,14247,218833,490945100,14870200,301800,5900,1000,0,1569241600
