No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
843,2014-03-03,3,7,8,26,42,43,11,1,9,232,12643,212024,132563500,13256200,617100,9900,1000,0,1629673200
844,2014-03-06,2,5,18,27,35,38,24,0,12,362,15405,229370,0,9473800,376800,7800,1000,126319769,1613654000
845,2014-03-10,2,12,13,22,24,34,20,1,9,497,20003,281828,270730000,14440900,313800,6800,1000,0,1888325200
846,2014-03-13,9,14,18,28,30,33,4,0,10,218,11698,193837,0,11883200,654100,10700,1000,132037455,1584660200
847,2014-03-17,9,10,23,31,35,36,38,0,4,252,13351,227156,0,36614400,697400,11600,1000,294769911,1926954400
848,2014-03-20,6,7,13,15,35,39,33,2,7,308,17312,282009,232909500,21991800,599700,9400,1000,0,2121531800
849,2014-03-24,1,3,4,10,15,40,34,2,6,318,15195,231075,64046100,19213600,435000,8000,1000,0,1632933600
850,2014-03-27,2,11,30,32,38,41,4,0,2,309,10333,182677,0,63132700,490300,12900,1000,140296289,1632036400
851,2014-03-31,5,8,14,20,26,27,7,3,11,548,22620,298615,96122100,12114700,291800,6200,1000,0,1957614400
