No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1309,2018-09-03,24,32,34,36,41,43,23,1,10,252,11693,195021,600000000,10762100,461200,10500,1000,420789350,2000914800
1310,2018-09-06,9,24,25,27,34,36,14,0,11,286,14822,227796,0,7524800,312500,6300,1000,696692533,1711833600
1311,2018-09-10,12,23,26,29,36,37,15,3,11,325,15349,244472,335970100,8488000,310200,6900,1000,0,1903207200
1312,2018-09-13,13,24,25,26,32,39,6,2,14,309,13016,193425,120471500,5163200,252600,6300,1000,0,1482688000
1313,2018-09-17,5,12,21,31,36,43,27,1,6,181,9087,154134,200000000,11915800,426500,8900,1000,38309977,1383868400
1314,2018-09-20,3,10,20,21,27,33,39,3,7,305,13248,194740,91653600,10142500,251300,6100,1000,0,1466855200
1315,2018-09-24,3,8,23,30,32,40,31,1,4,190,9841,168580,200000000,17043400,387500,7900,1000,27238834,1367592800
1316,2018-09-27,6,16,26,35,36,39,14,3,8,403,11715,167824,92137600,9344300,200300,7200,1000,0,1461763800
