No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
732,2013-02-04,20,33,35,36,37,38,29,2,6,617,16624,249338,105133100,31539600,368000,12000,1000,0,2391659200
733,2013-02-07,5,13,14,26,37,38,28,6,20,785,23909,321170,31134100,8406100,257000,7400,1000,0,2346252400
734,2013-02-11,10,19,22,27,29,39,21,2,8,300,17638,280109,90878300,20447400,654300,9800,1000,0,2210885200
735,2013-02-14,5,12,19,22,32,39,14,1,10,341,16562,280926,191947900,17275100,607900,11000,1000,0,2301765800
736,2013-02-18,2,14,17,19,38,43,6,1,7,281,15306,258371,195249400,25103200,750400,12100,1000,0,2280495800
737,2013-02-21,6,10,21,24,27,39,11,5,12,570,22915,339048,35534000,13325100,336600,7300,1000,0,2306150800
738,2013-02-25,14,21,22,32,33,41,9,3,10,453,19251,280872,63074300,17029900,451100,9300,1000,0,2277831000
739,2013-02-28,11,13,18,20,28,38,31,1,5,403,18674,304231,189795600,34162900,508600,9600,1000,0,2334745000
