No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1145,2017-02-02,1,4,15,18,25,28,36,0,3,269,12030,192292,0,33835800,452800,8900,1000,112787035,1412992200
1146,2017-02-06,1,10,19,23,26,34,27,2,5,275,11920,197804,124691200,24586900,536400,10900,1000,0,1633310200
1147,2017-02-09,2,3,10,16,26,27,23,2,13,484,15880,221368,102768800,4743300,137500,4400,1000,0,1390071200
1148,2017-02-13,3,5,16,23,31,43,39,0,9,286,12463,192732,0,7745500,263200,6300,1000,232357669,1443631800
1149,2017-02-16,2,14,22,23,35,43,31,0,9,315,13606,207026,0,9621000,296800,7200,1000,520980964,1721261400
1150,2017-02-20,7,11,17,27,32,40,18,4,13,421,17894,254987,210763700,7432700,247800,6100,1000,0,1974011600
1151,2017-02-23,5,23,25,26,29,31,19,1,6,227,11400,188551,200000000,11877700,339000,7100,1000,37547727,1457019800
1152,2017-02-27,6,8,10,33,35,43,22,0,7,183,10419,188674,0,11649000,481200,8900,1000,309349226,1606972600
