No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
740,2013-03-04,8,9,15,26,37,40,18,8,16,480,20561,301477,22908400,10308700,412300,8400,1000,0,2271575200
741,2013-03-07,8,11,15,29,36,43,18,3,12,558,18270,271536,62963200,14166600,365500,9800,1000,0,2254172000
742,2013-03-11,2,12,13,14,22,35,4,5,10,397,20820,314071,34263800,15418600,466000,7800,1000,0,2195141600
743,2013-03-14,3,4,8,10,14,37,32,1,8,367,19543,317038,166674600,18750700,490400,8100,1000,0,2161144000
744,2013-03-18,2,5,12,14,30,42,3,2,9,341,16828,279874,85021400,17004100,538500,9600,1000,0,2107993600
745,2013-03-21,8,12,16,23,33,34,6,2,14,540,24091,321033,81805900,10517800,327200,6400,1000,0,2143255600
746,2013-03-25,6,9,10,29,31,35,28,2,6,300,15515,260934,89450700,26834900,644000,10900,1000,0,2143322800
747,2013-03-28,8,19,20,23,24,35,5,5,9,400,18197,276521,35339700,17669700,477000,9200,1000,0,2158709800
