No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
560,2011-06-02,4,17,19,37,39,42,16,1,12,415,19158,310543,200000000,16641300,577400,11000,1000,21887100,2629227400
561,2011-06-06,4,14,30,35,40,41,29,2,13,330,16911,289532,127969000,16203300,765900,13100,1000,0,2688839400
562,2011-06-09,9,10,11,25,30,37,12,3,11,651,27057,377390,67477800,16562600,335800,7100,1000,0,2607767600
563,2011-06-13,4,5,26,28,34,38,8,2,9,265,16392,281145,97738500,19547500,796600,11300,1000,0,2333093600
564,2011-06-16,3,12,18,24,34,39,16,4,16,632,25207,365051,52001000,11700100,355400,7800,1000,0,2629029400
565,2011-06-20,3,6,8,21,28,32,10,3,8,381,20021,325544,63900800,21566300,543400,9100,1000,0,2398772200
566,2011-06-23,10,17,18,29,30,41,7,1,13,480,20450,316480,200000000,14792600,480700,9900,1000,13672968,2570635200
567,2011-06-27,7,13,17,23,28,34,25,0,10,478,24006,373462,0,19073800,478800,8400,1000,225606974,2682064600
568,2011-06-30,7,10,15,31,32,42,41,2,7,397,21753,371942,258596800,37489300,793200,12700,1000,0,3374794000
