No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1120,2016-11-03,10,12,13,29,35,39,33,0,4,178,9105,156071,0,25024400,674800,11600,1000,111220831,1318813600
1121,2016-11-07,2,8,31,38,40,42,41,0,3,164,9921,178687,0,41424200,909300,13200,1000,249302847,1603818600
1122,2016-11-10,22,24,29,31,32,34,40,0,1,182,8596,159494,0,135292500,892000,16600,1000,399629190,1668174000
1123,2016-11-14,4,8,23,29,34,35,15,3,15,246,14227,231821,184681300,9264800,677900,10300,1000,0,1864632400
1124,2016-11-17,1,16,24,28,40,42,33,1,2,192,8881,146276,120119000,54053100,675600,12800,1000,0,1374811000
1125,2016-11-21,2,16,19,20,24,36,27,0,7,201,10191,165665,0,14989700,626400,10800,1000,116587730,1387036400
1126,2016-11-24,4,5,26,30,34,42,27,2,6,163,9404,166812,121776000,19044400,841200,12800,1000,0,1480269000
1127,2016-11-28,9,15,17,21,23,42,24,0,3,235,10996,177119,0,34377200,526600,9900,1000,114591920,1395047800
