No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
681,2012-08-02,1,11,13,30,37,41,27,0,11,268,15062,254431,0,15261400,751600,11700,1000,186530099,2195539600
682,2012-08-06,3,5,7,18,19,41,34,1,15,758,25151,374782,393430300,12413900,294700,7800,1000,0,2641007000
683,2012-08-09,16,24,29,32,35,38,37,1,8,440,16563,240641,185848300,20907700,456100,10600,1000,0,2158937400
684,2012-08-13,6,7,13,18,27,33,16,2,7,506,22145,315789,74642000,19193400,318600,6400,1000,0,2006387000
685,2012-08-16,12,23,27,32,39,43,15,2,9,373,19174,291374,87878800,17575600,508800,8700,1000,0,2183491800
686,2012-08-20,21,24,26,35,37,38,16,2,7,283,13946,244043,94737500,24360800,723000,12900,1000,0,2198191600
687,2012-08-23,16,20,27,33,40,42,34,2,15,300,15659,251692,94843400,11381100,682800,11500,1000,0,2217041200
688,2012-08-27,9,12,16,33,34,35,1,2,4,297,15117,258936,92819300,41768300,675000,11600,1000,0,2197759800
689,2012-08-30,6,8,12,17,24,31,38,8,34,753,28797,381008,20094300,4255200,230500,5300,1000,0,2251563600
