No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1608,2021-08-02,10,18,22,23,25,35,19,1,6,232,12572,205473,509282000,13885200,387800,7500,1000,0,1670064000
1609,2021-08-05,4,12,16,34,35,41,5,1,6,191,9376,157972,200000000,11578400,392800,8400,1000,31561885,1362910000
1610,2021-08-09,1,8,13,22,41,42,40,0,4,194,10501,173671,0,17643400,392800,7600,1000,266800327,1413862200
1611,2021-08-12,3,14,16,24,32,36,34,2,5,314,14199,211211,259020800,15074900,259200,6000,1000,0,1567213200
1612,2021-08-16,5,8,12,16,27,38,42,8,16,529,19245,240064,25388800,3808400,124400,3600,1000,0,1421014400
1613,2021-08-19,9,17,22,25,30,41,15,0,8,212,10475,162397,0,8568900,349200,7400,1000,228496717,1359349400
1614,2021-08-23,4,5,20,29,40,43,24,0,2,201,10038,172594,0,43923000,471900,9900,1000,521307271,1663043000
1615,2021-08-26,2,5,6,13,19,29,25,1,16,431,18546,280761,600000000,5080400,203600,5000,1000,192257783,1807891800
1616,2021-08-30,1,4,6,21,34,41,12,1,9,231,11883,207857,478273700,9534100,401100,8200,1000,0,1711714800
