No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
869,2014-06-02,5,7,23,24,37,38,40,7,8,568,24054,339050,89021500,19709700,333100,6900,1000,0,2284560200
870,2014-06-05,1,11,14,21,23,39,26,1,4,248,12547,210166,129034400,29032400,561900,9700,1000,0,1594702800
871,2014-06-09,3,10,11,13,20,27,25,3,16,423,16767,243854,38178300,6442500,292400,6500,1000,0,1542850800
872,2014-06-12,6,10,17,18,19,24,7,1,12,326,15540,235912,117975100,8848000,390800,7200,1000,0,1555265600
873,2014-06-16,4,22,26,27,32,43,20,1,9,175,10278,181091,136319400,13631800,841200,12600,1000,0,1593757200
874,2014-06-19,2,8,21,27,33,37,42,0,14,271,13808,215928,0,8032700,497900,8600,1000,124955572,1571860800
875,2014-06-23,4,5,11,13,22,25,43,2,13,548,22358,316117,129788300,9319800,265300,5700,1000,0,1878973200
876,2014-06-26,11,12,18,25,35,39,9,1,6,251,14155,217060,128626000,19293700,553400,8600,1000,0,1606453600
877,2014-06-30,3,14,17,32,35,43,10,0,9,266,11736,181484,0,13837700,561800,11200,1000,138378499,1612625200
