No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
783,2013-08-01,9,14,22,24,25,32,13,1,5,229,12913,222023,140608100,25309200,663100,10300,1000,0,1722197000
784,2013-08-05,1,9,23,29,37,41,22,1,7,327,11559,185822,142822100,18362600,471700,11700,1000,0,1661099200
785,2013-08-08,1,9,18,20,24,29,15,0,11,236,12531,200326,0,11447700,640200,10600,1000,139918477,1667954600
786,2013-08-12,10,11,17,31,35,39,23,3,17,382,16063,243073,97530200,8082500,431600,9000,1000,0,1874406800
787,2013-08-15,4,5,13,21,33,34,15,1,4,297,13391,205498,130770500,29423100,475500,9300,1000,0,1599501800
788,2013-08-19,2,8,13,27,31,32,16,2,17,371,16765,239031,65271100,6910900,380000,7400,1000,0,1672024000
789,2013-08-22,12,17,29,32,38,40,28,0,7,229,10958,182429,0,18719500,686600,12600,1000,145597887,1677817400
790,2013-08-26,9,13,19,27,34,38,8,3,12,469,17888,261649,102876700,12227300,375400,8600,1000,0,2006226000
791,2013-08-29,1,10,22,24,34,37,20,1,5,202,11282,202821,149634700,26934000,800000,12600,1000,0,1758412600
