No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1755,2023-01-05,4,11,13,26,27,36,15,1,7,321,15302,232237,492706600,11415200,268800,5900,1000,0,1679947800
1756,2023-01-09,19,25,29,36,37,41,2,3,8,186,8873,154982,90288300,10157700,471800,10400,1000,0,1528009400
1757,2023-01-12,6,12,15,35,36,39,42,1,2,212,11043,177093,200000000,34642100,352900,7100,1000,30940310,1402685000
1758,2023-01-16,7,14,28,32,42,43,17,2,9,270,12191,175124,143786400,8554700,307900,7200,1000,0,1510577800
1759,2023-01-19,1,10,25,27,28,33,15,0,9,192,10474,175779,0,7412500,375200,7200,1000,222368506,1362308600
1760,2023-01-23,8,14,18,38,39,42,30,0,4,266,12546,198360,0,20677700,335800,7500,1000,498062325,1645505400
1761,2023-01-26,5,7,13,21,23,30,42,1,8,317,15702,234463,600000000,9644700,262800,5600,1000,155247670,1644857400
1762,2023-01-30,1,6,7,20,37,40,10,2,10,223,11560,191530,211296300,8020600,388400,7900,1000,0,1593846000
