No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1335,2018-12-03,10,16,19,34,35,39,4,4,3,151,8255,146445,62235400,24894900,534100,10300,1000,0,1413239800
1336,2018-12-06,4,5,11,19,31,34,43,2,7,219,11013,179513,108017300,9258900,319600,6700,1000,0,1342929400
1337,2018-12-10,3,6,21,28,29,34,15,4,7,242,12290,192483,55161000,9456400,295400,6100,1000,0,1391894200
1338,2018-12-13,2,6,23,25,30,31,35,1,8,281,12597,195164,200000000,7908400,243100,5700,1000,10886363,1355212600
1339,2018-12-17,1,10,15,33,34,42,39,1,2,181,9806,164196,265958300,38262000,456500,8900,1000,0,1479473600
1340,2018-12-20,6,15,18,20,26,29,9,0,7,232,10872,176900,0,9991200,325500,7300,1000,233121796,1411788600
1341,2018-12-24,9,12,15,16,26,39,34,2,9,313,14275,221101,243666700,8474000,263100,6000,1000,0,1602170400
1342,2018-12-27,1,4,9,16,23,31,42,1,5,394,15573,219088,200000000,14089200,193000,5100,1000,34812633,1512928200
