No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1446,2020-01-09,2,5,11,20,21,32,13,3,14,420,18033,261954,95828100,6160500,221700,5400,1000,0,1838347600
1447,2020-01-13,2,9,12,13,14,22,10,3,12,358,14934,220287,70389900,5279400,191100,4800,1000,0,1412280000
1448,2020-01-16,10,12,25,29,32,41,40,4,8,208,9879,165774,57688600,8653500,359400,7900,1000,0,1376720600
1449,2020-01-20,6,19,20,26,34,38,4,3,11,298,11826,170543,78635800,6434000,256400,6800,1000,0,1409835000
1450,2020-01-23,24,25,26,27,34,36,3,2,6,278,9421,156580,121327500,12133100,282800,8800,1000,0,1408290600
1451,2020-01-27,2,6,10,20,24,43,34,10,19,1033,19806,223595,21232800,3352600,66500,3600,1000,0,1424695400
1452,2020-01-30,17,19,29,31,37,39,35,1,6,249,8697,144177,200000000,12012500,312600,9400,1000,40243754,1370191800
