No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1824,2023-09-04,6,7,13,18,25,43,33,1,9,317,14658,224083,516962700,8811100,270100,6100,1000,0,1652993800
1825,2023-09-07,1,10,13,17,20,41,4,2,6,171,9096,154788,114153400,11415700,432500,8500,1000,0,1341611200
1826,2023-09-11,7,14,18,19,22,25,38,0,9,254,12145,192732,0,7074700,270700,5900,1000,212235063,1355701600
1827,2023-09-14,1,13,18,23,38,41,36,0,7,183,11036,179655,0,10890100,449800,7800,1000,466330270,1509558800
1828,2023-09-18,1,6,9,16,18,22,8,1,32,381,17596,248601,600000000,2304300,209000,4700,1000,112124781,1626500400
1829,2023-09-21,12,15,16,17,28,42,32,1,6,209,10978,182364,351361300,11962200,370800,7400,1000,0,1450650800
1830,2023-09-25,4,10,23,29,31,36,6,0,10,246,10774,166683,0,6884600,302200,7200,1000,229479469,1373168200
1831,2023-09-28,1,14,17,27,32,43,42,2,4,234,10395,169862,245962100,19684000,363300,8600,1000,0,1524281800
