No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1283,2018-06-04,1,26,27,30,37,38,4,0,5,140,8184,159189,0,15490600,597400,10800,1000,258168830,1481879400
1284,2018-06-07,4,14,17,21,24,39,7,0,7,277,13809,216404,0,11765900,321100,6800,1000,532698735,1680517200
1285,2018-06-11,7,8,13,36,38,42,6,3,3,298,14645,242303,280267300,30811300,334900,7200,1000,0,1884777400
1286,2018-06-14,11,32,37,39,41,42,43,1,5,223,9653,151359,200000000,15152000,366800,8900,1000,52525496,1439819600
1287,2018-06-18,9,21,23,34,37,38,40,2,5,207,11588,193422,161407700,16217900,423000,7900,1000,0,1610919200
1288,2018-06-21,8,9,19,24,35,43,11,0,9,197,10900,181785,0,8119400,400600,7600,1000,243576796,1468329600
1289,2018-06-25,6,9,16,24,29,37,3,1,27,399,16548,250180,522362900,3097700,226300,5700,1000,0,1774173400
1290,2018-06-28,18,24,27,32,35,41,10,0,5,209,10206,161049,0,14982100,387000,8300,1000,249693798,1448979200
