No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1660,2022-02-03,3,13,29,35,42,43,15,1,5,175,9686,170616,321050200,16319100,503500,9600,1000,0,1567608400
1661,2022-02-07,6,14,31,35,38,43,12,0,7,147,8470,152410,0,11143800,573000,10500,1000,260015227,1474883200
1662,2022-02-10,4,17,18,25,26,27,32,1,7,322,14880,223911,518825300,11092200,260400,5900,1000,0,1628508200
1663,2022-02-14,1,6,19,21,27,39,3,0,3,265,12383,190416,0,22810400,278800,6300,1000,228097048,1419867400
1664,2022-02-17,7,10,17,20,21,27,15,1,11,394,15377,230196,498086000,7363500,222000,6000,1000,0,1691323400
1665,2022-02-21,19,22,24,29,34,41,9,1,5,170,9511,160291,200000000,14855900,471800,8900,1000,47590471,1438103800
1666,2022-02-24,14,16,26,37,41,43,31,0,3,180,8781,154486,0,26370100,474600,10200,1000,311283430,1495567200
1667,2022-02-28,5,8,18,25,40,43,17,0,9,266,13878,224283,0,9643600,352300,7100,1000,600583728,1762568600
