No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1901,2024-06-03,14,15,26,28,33,37,4,1,12,335,14591,206185,600000000,6738400,260600,6300,1000,132921531,1635963800
1902,2024-06-06,4,7,15,18,35,40,12,1,6,217,11086,178100,374961800,12102400,361300,7400,1000,0,1453426600
1903,2024-06-10,18,19,23,25,27,32,20,2,7,272,10176,169575,110005700,9429300,262000,7400,1000,0,1338222200
1904,2024-06-13,14,21,23,24,28,36,7,0,10,139,9390,150025,0,6361800,494200,7700,1000,212054878,1260009800
1905,2024-06-17,4,5,17,20,29,30,40,4,6,300,13294,200847,114995300,12396700,267700,6300,1000,0,1529697400
1906,2024-06-20,1,8,21,22,30,42,24,3,6,184,9802,155995,70838900,10626100,374200,7400,1000,0,1275295000
1907,2024-06-24,10,14,21,23,24,40,28,0,10,161,9247,153544,0,6805200,456400,8300,1000,226835269,1332416000
1908,2024-06-27,3,9,21,25,42,43,36,0,7,221,10942,180783,0,10544900,360700,7600,1000,472876951,1476873800
