No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1162,2017-04-03,3,4,8,12,24,37,10,0,15,533,20365,265661,0,4228500,128500,3500,1000,247187990,1514209200
1163,2017-04-06,11,17,19,24,33,41,9,1,8,293,13538,211028,522072300,10308500,303900,6900,1000,0,1670119400
1164,2017-04-10,4,7,11,33,34,37,24,1,12,254,12054,186238,200000000,5738000,292700,6500,1000,29513853,1416774000
1165,2017-04-13,18,20,21,24,40,42,25,1,7,182,8533,149378,285641000,10977200,455900,10200,1000,0,1451155800
1166,2017-04-17,4,8,17,20,29,41,3,1,12,334,12886,185092,200000000,5951900,230900,6300,1000,38069652,1451613800
1167,2017-04-20,6,13,20,25,36,42,28,3,12,285,12469,186704,97676200,6374100,289800,7000,1000,0,1528998400
1168,2017-04-24,1,3,8,14,35,39,18,0,5,200,11809,195791,0,14103000,380700,6800,1000,235042467,1462161400
1169,2017-04-27,19,24,25,36,37,43,10,1,2,300,12042,197378,525593200,43584000,313700,8200,1000,0,1708244000
