No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
538,2011-03-03,2,11,14,23,26,33,28,6,23,1427,52245,670870,47501800,11152500,215700,5100,1000,0,3981610400
539,2011-03-10,3,10,13,17,18,28,24,3,25,721,35375,573008,100041200,10804300,449500,8000,1000,0,3896213200
540,2011-03-17,15,23,29,35,36,41,42,2,20,611,25408,397689,135523300,12196900,479000,10100,1000,0,3252503800
541,2011-03-24,3,4,5,28,34,43,20,2,15,558,24726,421564,147042700,17644900,569100,11300,1000,0,3506903000
542,2011-03-31,10,14,23,35,38,41,17,2,19,706,33515,486715,148400100,14058800,454000,8400,1000,0,3675407600
