No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
895,2014-09-01,5,12,24,25,37,38,39,6,14,705,21098,255673,19453800,7503500,178800,5200,1000,0,1588235800
896,2014-09-04,5,6,21,27,32,38,34,0,1,297,13292,210128,0,113976600,460500,9000,1000,126641809,1573708400
897,2014-09-08,8,10,14,15,27,30,12,3,12,429,18476,273801,89071400,10542800,353800,7200,1000,0,1836948800
898,2014-09-11,13,17,21,25,29,37,23,4,6,557,15052,201693,31560700,18936200,244700,7900,1000,0,1551478200
899,2014-09-15,3,10,15,18,27,40,38,1,7,300,13786,206827,115363100,14832200,415300,7900,1000,0,1467805200
900,2014-09-18,8,12,21,22,31,35,2,2,8,223,12238,195769,63211900,14222500,612200,9800,1000,0,1539894800
901,2014-09-22,6,13,22,28,29,37,14,0,25,424,16008,214267,0,4297800,304000,7100,1000,119387020,1519504600
902,2014-09-25,11,21,26,31,32,33,22,1,13,217,11407,198066,269162200,10368900,745400,12500,1000,0,1749073000
903,2014-09-29,1,3,6,7,16,19,12,1,19,444,18382,244707,113300900,5366800,275500,5800,1000,0,1533961200
