No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
852,2014-04-03,3,17,22,23,27,40,35,1,4,217,12279,205933,129224400,29075200,643100,10000,1000,0,1586956600
853,2014-04-07,2,9,22,26,31,35,7,0,3,245,11444,193734,0,39881400,586000,11000,1000,132939440,1592314000
854,2014-04-10,4,11,14,18,25,37,42,1,33,586,21049,287638,280741900,4030900,272300,6600,1000,0,1930881800
855,2014-04-14,10,13,15,25,37,42,30,0,5,329,12644,201206,0,24191300,441100,10100,1000,134397657,1621662200
856,2014-04-17,10,24,32,34,38,40,43,2,9,255,12954,220199,155268000,17613600,745900,12900,1000,0,2028653800
857,2014-04-21,1,3,6,17,28,42,24,1,5,291,14162,226093,128078300,23053900,475300,8600,1000,0,1621740600
858,2014-04-24,3,14,29,32,33,42,40,2,4,199,10157,171855,71353500,32108800,774400,13300,1000,0,1629057000
859,2014-04-28,1,12,15,17,21,36,24,0,4,213,11239,197400,0,30692700,691600,11500,1000,136413520,1630821600
