No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
690,2012-09-03,7,8,10,21,34,38,30,0,10,337,17612,286212,0,16397300,583800,9800,1000,182194767,2228276400
691,2012-09-06,4,7,8,15,16,42,23,3,3470,702,25913,407943,134131500,57100,338700,8000,1000,0,2830927800
692,2012-09-10,9,10,12,19,21,42,15,2,8,370,18692,293557,90732700,20414600,529600,9200,1000,0,2238225600
693,2012-09-13,4,14,18,22,32,35,10,0,4,338,16304,263624,0,43118000,612300,11100,1000,191637654,2260604800
694,2012-09-17,8,23,27,31,38,40,3,2,11,528,23904,361757,199696300,16997900,424900,8200,1000,0,2619532600
695,2012-09-20,4,7,11,12,13,19,27,5,20,658,27156,370176,33044600,7434900,271100,5700,1000,0,2266543400
696,2012-09-24,2,10,14,19,36,39,9,1,12,301,15491,256073,182624000,13696600,655200,11200,1000,0,2165052200
697,2012-09-27,2,12,14,18,40,41,6,1,11,309,15611,271554,188870600,15452900,660100,11500,1000,0,2254045200
