No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1694,2022-06-02,2,12,14,26,32,37,29,1,4,290,13521,199197,267868300,18000600,268100,6000,1000,0,1491399400
1695,2022-06-06,3,8,14,18,28,37,39,1,3,311,14464,202022,200000000,21612900,225100,5100,1000,16122806,1393334400
1696,2022-06-09,2,4,13,18,32,35,12,0,4,214,10627,174749,0,17990800,363100,7700,1000,255992308,1436494200
1697,2022-06-13,2,3,11,12,22,35,26,1,16,416,19347,267267,516523200,4885100,202900,4600,1000,0,1732374600
1698,2022-06-16,6,16,18,33,42,43,11,0,6,189,10027,161958,0,11776700,403700,8000,1000,235526810,1389093400
1699,2022-06-20,4,6,16,27,39,42,1,1,10,347,15571,235257,507202600,8150500,253600,5900,1000,0,1709941400
1700,2022-06-23,11,19,20,27,31,35,6,0,5,184,9726,158718,0,14267000,418600,8300,1000,237776885,1391725600
1701,2022-06-27,5,8,27,30,33,39,10,3,10,278,13957,219062,168435800,8026100,311700,6500,1000,0,1655839400
1702,2022-06-30,2,6,7,18,27,38,14,1,11,330,15967,220299,198347600,5409600,194700,4200,1000,0,1356277600
