No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1780,2023-04-03,1,5,19,26,35,37,32,0,13,355,15712,235858,0,6797500,268800,6400,1000,858029577,1811238000
1781,2023-04-06,10,18,32,39,41,42,12,1,5,271,11543,199195,600000000,19640100,391300,9700,1000,585354422,1872974200
1782,2023-04-10,7,31,32,36,39,42,34,0,6,211,10577,182324,0,15393600,472700,9900,1000,893217003,1750438400
1783,2023-04-13,5,14,19,23,30,42,35,3,9,331,13849,225000,398379800,10064400,295500,7400,1000,0,1819317800
1784,2023-04-17,3,19,30,32,36,40,42,0,12,193,10005,162735,0,6357500,426800,8700,1000,254293846,1472826800
1785,2023-04-20,4,11,24,35,37,42,7,2,8,373,15143,214104,259104900,9897100,229200,5900,1000,0,1629026400
1786,2023-04-24,2,5,6,26,33,35,13,3,1,270,12831,209893,74854700,67371500,269400,5900,1000,0,1447712800
1787,2023-04-27,2,13,17,19,41,43,1,1,4,168,8461,149655,200000000,18013500,463100,9700,1000,40173376,1382057600
