No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
551,2011-05-02,15,16,19,21,26,42,10,2,8,258,15142,282252,111725000,25137900,935300,14000,1000,0,2580018800
552,2011-05-05,13,22,26,30,40,41,8,3,11,266,14804,262941,71653900,17587600,872700,13800,1000,0,2462923000
553,2011-05-09,3,9,11,15,27,37,10,0,16,729,29564,395440,0,10542800,277600,6000,1000,187430365,2516760600
554,2011-05-12,16,27,34,35,36,38,37,2,7,381,21745,374276,228838200,34745600,766000,11800,1000,0,3193479400
555,2011-05-16,2,3,7,9,36,42,5,2,10,263,18339,316443,104317600,18777000,856700,10800,1000,0,2526526800
556,2011-05-19,6,9,13,17,29,30,25,3,23,667,26187,370865,70910400,8324100,344400,7700,1000,0,2683261200
557,2011-05-23,6,18,23,32,38,43,37,4,7,453,18740,291498,49388600,25399600,470900,10000,1000,0,2374255600
558,2011-05-26,4,32,33,38,41,43,2,2,6,266,14000,261299,120430500,36128800,977900,16300,1000,0,2685614800
559,2011-05-30,2,7,16,25,26,43,3,1,7,449,20192,284616,196540700,25269300,472700,9200,1000,0,2350103000
