No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1866,2024-02-01,8,19,21,29,38,40,12,0,9,210,9262,155571,0,7776000,359900,8600,1000,233273334,1365053000
1867,2024-02-05,1,6,17,28,40,42,4,1,4,222,11102,184650,504004900,20305500,395100,8300,1000,0,1593355200
1868,2024-02-08,3,7,22,23,24,32,2,2,9,260,12979,197603,101919500,6794800,254000,5300,1000,0,1329838000
1869,2024-02-12,7,8,16,28,36,37,29,1,5,231,11680,177874,200000000,12971000,303200,6300,1000,16177185,1339909800
1870,2024-02-15,5,9,13,23,25,40,27,0,8,196,11444,191508,0,8582900,378300,6800,1000,245047218,1425671800
1871,2024-02-19,7,13,22,24,38,42,14,2,12,347,14440,213290,254066500,6577300,245600,6200,1000,0,1623590400
1872,2024-02-22,3,18,20,25,34,40,31,1,5,181,8384,146924,200000000,13761100,410500,9300,1000,29345751,1328675000
1873,2024-02-26,6,15,26,33,39,41,42,2,7,384,14774,196590,131721800,10033000,197500,5400,1000,0,1459809400
1874,2024-02-29,13,31,33,36,41,43,29,0,1,171,7384,125656,0,71605600,452200,11000,1000,238677746,1322191000
