No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1556,2021-02-01,10,19,28,30,38,42,18,0,4,171,9192,160550,0,19282600,487100,9500,1000,257093373,1480204400
1557,2021-02-04,5,21,22,23,26,39,31,0,8,184,11703,195810,0,9945200,466900,7700,1000,522290979,1593973200
1558,2021-02-08,1,12,25,27,39,42,16,1,7,329,14877,232071,600000000,12490300,287000,6700,1000,213722015,1789186000
1559,2021-02-11,4,15,17,20,26,31,43,1,6,243,12186,191409,480866800,13357600,356100,7500,1000,0,1592702000
1560,2021-02-15,7,19,24,32,40,42,22,1,6,265,11625,179639,200000000,12175200,297700,7100,1000,43496170,1463208400
1561,2021-02-18,12,15,26,34,35,38,7,2,11,216,10465,165668,149668200,6977600,383700,8300,1000,0,1486102200
1562,2021-02-22,2,4,15,16,26,33,25,0,12,293,13686,206126,0,5888600,260400,5800,1000,235538502,1487295600
1563,2021-02-25,1,12,20,26,35,37,2,0,2,232,10692,182066,0,41506700,386400,8800,1000,512240826,1613703400
