No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
827,2014-01-06,2,4,23,24,33,41,5,0,7,240,13690,221352,0,17356200,607400,9300,1000,134993898,1671641800
828,2014-01-09,2,9,10,24,25,43,26,1,22,415,17662,268714,293783400,6495800,413200,8500,1000,0,1984847800
829,2014-01-13,2,3,23,32,36,39,20,1,1,239,11598,188628,136213400,122590900,615500,11100,1000,0,1609579400
830,2014-01-16,5,6,9,18,28,40,22,4,8,272,14411,232226,34145100,15365200,542300,9000,1000,0,1709674400
831,2014-01-20,3,4,7,13,22,31,19,3,18,466,18647,251782,42071400,6310600,292500,6400,1000,0,1662536200
832,2014-01-23,19,24,27,31,32,33,17,2,2,214,10849,187952,70326900,63293600,709800,12300,1000,0,1646883600
833,2014-01-27,5,6,13,20,22,28,2,1,13,327,16073,244601,129867100,8990700,428900,7600,1000,0,1678502200
834,2014-01-30,4,17,27,39,41,42,8,0,6,218,11359,191647,0,21514700,710500,12000,1000,143432919,1679381600
