No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1137,2017-01-05,1,18,21,31,37,41,20,0,4,279,13786,175278,0,33328600,573300,10200,1000,299920710,1684042000
1138,2017-01-09,8,15,21,24,35,38,22,0,6,367,16193,237752,0,21156000,415000,8200,1000,440962245,1760938200
1139,2017-01-12,4,6,14,17,23,33,26,1,9,337,17517,272459,400000000,14843800,475700,8000,1000,189401711,1902717400
1140,2017-01-16,11,21,30,31,36,37,23,1,8,204,11492,182252,331666000,16004500,753100,11700,1000,0,1648291200
1141,2017-01-19,1,4,10,14,24,26,29,3,4,334,14334,203639,37793100,25510100,366600,7500,1000,0,1443386200
1142,2017-01-23,12,13,19,23,28,35,31,1,7,250,12927,196772,112869100,14511600,487500,8300,1000,0,1423665400
1143,2017-01-26,19,21,31,39,42,43,29,1,5,141,7737,138227,126349600,22742700,967700,15500,1000,0,1411375400
1144,2017-01-30,7,13,14,33,39,43,29,1,3,208,10199,164448,124530000,37358600,646500,11600,1000,0,1453742200
