No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
757,2013-05-02,4,10,14,19,35,38,17,1,8,302,15047,242963,158786500,17863300,567800,10000,1000,0,1927596800
758,2013-05-06,11,19,20,25,38,40,33,3,6,250,12672,203849,48205400,21692200,624700,10800,1000,0,1716840600
759,2013-05-09,14,22,25,28,37,41,31,1,9,367,15858,236736,150508300,15050700,442900,9000,1000,0,1841413200
760,2013-05-13,3,4,6,15,32,40,34,2,6,180,11245,210799,76066200,22819600,912700,12800,1000,0,1797970400
761,2013-05-16,8,10,11,12,20,40,42,3,4,473,20431,273910,45384700,30634400,310800,6300,1000,0,1798578200
762,2013-05-20,6,8,9,20,24,27,40,2,9,441,17785,264693,66848900,13369600,327400,7100,1000,0,1756628800
763,2013-05-23,6,8,10,21,39,42,36,4,8,280,14976,239671,36232500,16304500,559000,9200,1000,0,1799186800
764,2013-05-27,6,7,24,34,42,43,14,1,11,219,11401,192624,152476300,12475200,751900,12700,1000,0,1760586000
765,2013-05-30,4,14,17,22,26,41,6,1,5,297,15081,224874,143790100,25882000,522800,9000,1000,0,1756341600
