No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1685,2022-05-02,1,26,27,28,33,37,8,1,7,154,9785,180626,332065800,11964200,587300,9700,1000,0,1621224600
1686,2022-05-05,7,8,9,23,25,41,11,2,8,229,11876,189112,102693600,7702200,290500,5900,1000,0,1317734000
1687,2022-05-09,20,21,23,26,29,35,22,0,8,195,8438,149755,0,9602900,425400,10300,1000,256069713,1451742400
1688,2022-05-12,2,4,10,24,34,42,8,3,28,393,15975,224888,173844600,2844300,218800,5600,1000,0,1659756000
1689,2022-05-16,4,7,21,22,34,42,31,5,5,261,11145,178764,48329100,14499200,299900,7400,1000,0,1453178600
1690,2022-05-19,8,16,21,23,29,37,38,3,6,382,13050,188138,72360700,10854400,184100,5600,1000,0,1366673400
1691,2022-05-23,13,16,18,29,33,41,26,0,2,234,9859,163684,0,36358400,335600,8400,1000,242381810,1422883400
1692,2022-05-26,4,8,17,31,37,42,14,1,6,298,13542,214202,520778600,13920200,302600,7000,1000,0,1692521400
1693,2022-05-30,7,8,21,23,34,36,11,1,7,336,13770,196104,200000000,9766000,219700,5600,1000,27866964,1431502000
