No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1548,2021-01-04,18,24,26,35,39,42,32,0,2,227,10473,167576,0,39785700,378500,8600,1000,315786518,1531371400
1549,2021-01-07,4,5,27,28,35,41,33,0,3,244,13348,207970,0,27345100,363000,7000,1000,589229311,1657024600
1550,2021-01-11,8,11,22,32,37,42,41,1,5,268,14542,233369,600000000,17320300,348900,6700,1000,277893021,1779978000
1551,2021-01-14,3,14,18,24,38,43,23,3,9,302,14183,218705,180897400,8826900,284000,6300,1000,0,1643110600
1552,2021-01-18,5,9,15,30,32,39,11,1,4,214,11524,185083,200000000,19264300,388800,7600,1000,56849793,1533657800
1553,2021-01-21,7,8,16,32,41,42,31,4,9,209,10426,175449,77867100,8487500,394700,8300,1000,0,1502500600
1554,2021-01-25,6,14,16,27,40,42,26,2,4,191,9880,167174,124357100,18654100,421900,8600,1000,0,1458309800
1555,2021-01-28,2,8,17,23,24,27,5,2,6,338,15824,231076,101798900,10180200,195100,4400,1000,0,1403168200
