No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1858,2024-01-04,12,13,17,22,35,40,5,0,9,206,11798,199393,0,9691800,457200,8400,1000,822109563,1713569600
1859,2024-01-08,1,4,11,28,37,39,15,0,15,346,16258,258228,0,6239300,292100,6500,1000,1134064954,1936998400
1860,2024-01-11,8,15,20,21,31,34,28,2,6,307,15308,246612,600000000,17360400,366400,7700,1000,281262616,2065184000
1861,2024-01-15,2,12,13,27,39,40,30,2,6,351,13602,208568,282827200,14220000,262500,7100,1000,0,1706198000
1862,2024-01-18,25,27,33,37,38,43,16,1,1,148,8046,150753,200000000,72133000,526300,10200,1000,40435498,1385643000
1863,2024-01-22,15,20,24,37,38,39,27,0,3,179,10298,175448,0,25987200,470300,8600,1000,300299055,1525416000
1864,2024-01-25,14,22,28,34,41,42,11,1,4,292,12679,189153,574191000,20542500,303900,7300,1000,0,1617171800
1865,2024-01-29,3,5,18,21,26,36,34,3,5,377,15703,214137,73761800,13277500,190100,4800,1000,0,1442816600
