No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
490,2010-04-01,5,9,13,28,34,40,10,9,21,1040,39290,548251,38002200,14657800,355100,8200,1000,0,4207344000
491,2010-04-08,7,9,20,27,31,34,33,2,10,623,31498,520813,175121000,31521500,607100,10500,1000,0,4218223800
492,2010-04-15,1,8,12,20,23,37,10,3,31,1475,40740,595137,112832800,9827200,247800,7900,1000,0,4280759000
493,2010-04-22,8,26,30,36,41,42,20,1,11,453,25351,459941,200000000,29693400,865200,13600,1000,162923672,4193780000
494,2010-04-29,8,16,19,23,26,31,6,2,31,825,39322,629143,275247400,11251900,507300,9300,1000,0,4785185400
