No,抽選日,数字１,数字２,数字３,数字４,数字５,数字６,数字B,１等口数,２等口数,３等口数,４等口数,５等口数,１等金額,２等金額,３等金額,４等金額,５等金額,キャリーオーバー,Unnamed: 20
1617,2021-09-02,2,19,21,24,26,41,23,1,7,190,10156,173195,200000000,10506500,418000,8200,1000,45144696,1456092000
1618,2021-09-06,2,10,14,17,37,43,38,0,6,295,12782,205625,0,13240100,290800,7000,1000,309939596,1614024600
1619,2021-09-09,3,5,17,20,24,38,13,1,12,380,16998,243682,582585000,6816300,232400,5400,1000,0,1732900400
1620,2021-09-13,7,15,19,24,25,28,11,0,6,262,13224,212875,0,11811700,292100,6100,1000,236227979,1505306200
1621,2021-09-16,3,10,22,23,26,39,1,1,10,305,15040,233592,512063000,8275300,293000,6200,1000,0,1724415800
1622,2021-09-20,16,29,34,35,40,41,26,0,4,144,8811,140530,0,19032000,570900,9800,1000,253752770,1421118000
1623,2021-09-23,7,12,15,17,19,29,22,2,10,290,14225,229953,260837600,8037900,299300,6400,1000,0,1681753800
1624,2021-09-27,3,5,17,25,33,39,19,4,15,451,16407,217094,57625000,4610100,165500,4800,1000,0,1489653000
1625,2021-09-30,1,4,8,11,30,42,9,0,11,348,16268,224954,0,6022500,205500,4600,1000,220819031,1464815600
